"country","continent","health","happiness","financial"
"Algeria","Africa",65.9,79.9,5.99
"Australia","Oceania",78.3,93.2,6.32
"Brazil","Americas",71.3,92,6.21
"Chile","Americas",72.8,84.8,6
"China","Asia",69,85.5,6.19
"Cyprus","Europe",74.9,82.1,5.9
"Georgia","Europe",42.6,69.6,4.01
"Germany","Europe",66.9,85,6.62
"Ghana","Africa",87.4,80.8,4.52
"Haiti","Americas",70.1,84.3,3.35
"Hong Kong","Asia",57.9,89.2,6.64
"Iraq","Asia",65.8,68.6,5.85
"Japan","Asia",52.1,89.3,6.04
"South Korea","Asia",81.2,90.1,5.69
"Mexico","Americas",72.7,94.3,7
"Netherlands","Europe",75.8,93.3,6.92
"New Zealand","Oceania",81.6,94.9,6.88
"Nigeria","Africa",90.8,84.7,5.69
"Pakistan","Asia",79.6,84.9,6.76
"Peru","Americas",54.4,76.4,6.03
"Poland","Europe",61.3,94.1,5.71
"Russia","Asia",44.4,76.5,4.87
"Singapore","Asia",80.7,93,6.41
"South Africa","Africa",83.8,76.6,6.13
"Zimbabwe","Africa",80.1,78.9,4.53
"Spain","Europe",74.3,86.6,5.56
"Sweden","Europe",75.7,94.7,6.94
"Thailand","Asia",79.3,93,6.17
"Tunisia","Africa",70.2,79.4,4.96
"Egypt","Africa",59.3,26,4.86
"United States","Americas",80.4,90,6.15
"Uruguay","Americas",80.5,86.5,6.64
